,Feature1,Feature2,Correlation,Category
0,duration,protocol_type,0.16,Very Low (<0.7)
1,duration,service,0.08,Very Low (<0.7)
20,service,urgent,0.0041,Very Low (<0.7)
21,flag,src_bytes,-0.0029,Very Low (<0.7)
22,flag,dst_bytes,0.013,Very Low (<0.7)
23,flag,land,-0.0084,Very Low (<0.7)
24,flag,wrong_fragment,0.025,Very Low (<0.7)
25,flag,urgent,0.0013,Very Low (<0.7)
26,src_bytes,dst_bytes,-1.60E-06,Very Low (<0.7)
27,src_bytes,land,-2.00E-05,Very Low (<0.7)
28,src_bytes,wrong_fragment,-0.00014,Very Low (<0.7)
29,src_bytes,urgent,-5.00E-06,Very Low (<0.7)
30,dst_bytes,land,-0.00018,Very Low (<0.7)
31,dst_bytes,wrong_fragment,-0.0013,Very Low (<0.7)
32,dst_bytes,urgent,0.016,Very Low (<0.7)
33,land,wrong_fragment,-0.00032,Very Low (<0.7)
34,land,urgent,-0.00012,Very Low (<0.7)
19,service,wrong_fragment,0.067,Very Low (<0.7)
18,service,land,-0.0023,Very Low (<0.7)
17,service,dst_bytes,0.0057,Very Low (<0.7)
16,service,src_bytes,-0.0012,Very Low (<0.7)
2,duration,flag,0.02,Very Low (<0.7)
3,duration,src_bytes,0.0043,Very Low (<0.7)
4,duration,dst_bytes,0.0054,Very Low (<0.7)
5,duration,land,-0.00045,Very Low (<0.7)
6,duration,wrong_fragment,-0.0032,Very Low (<0.7)
7,duration,urgent,0.0038,Very Low (<0.7)
9,protocol_type,flag,-0.48,Very Low (<0.7)
10,protocol_type,src_bytes,0.0019,Very Low (<0.7)
11,protocol_type,dst_bytes,0.025,Very Low (<0.7)
12,protocol_type,land,0.0062,Very Low (<0.7)
13,protocol_type,wrong_fragment,0.11,Very Low (<0.7)
14,protocol_type,urgent,0.0024,Very Low (<0.7)
15,service,flag,-0.73,Very Low (<0.7)
35,wrong_fragment,urgent,-0.00012,Very Low (<0.7)
8,protocol_type,service,0.74,Low (0.7-0.8)
