,Feature1,Feature2,Correlation,Category,
26,rerror_rate,srv_rerror_rate,0.99,High (0.9-1.0),
0,count,srv_count,0.94,High (0.9-1.0),
12,srv_count,same_srv_rate,0.62,Very Low (<0.7),
5,count,same_srv_rate,0.35,Very Low (<0.7),
24,srv_serror_rate,diff_srv_rate,0.25,Very Low (<0.7),
19,serror_rate,diff_srv_rate,0.25,Very Low (<0.7),
28,rerror_rate,diff_srv_rate,0.23,Very Low (<0.7),
31,srv_rerror_rate,diff_srv_rate,0.23,Very Low (<0.7),
34,same_srv_rate,srv_diff_host_rate,0.11,Very Low (<0.7),
32,srv_rerror_rate,srv_diff_host_rate,0.03,Very Low (<0.7),
29,rerror_rate,srv_diff_host_rate,0.024,Very Low (<0.7),
35,diff_srv_rate,srv_diff_host_rate,-0.022,Very Low (<0.7),
20,serror_rate,srv_diff_host_rate,-0.092,Very Low (<0.7),
25,srv_serror_rate,srv_diff_host_rate,-0.092,Very Low (<0.7),
21,srv_serror_rate,rerror_rate,-0.11,Very Low (<0.7),
17,serror_rate,srv_rerror_rate,-0.11,Very Low (<0.7),
16,serror_rate,rerror_rate,-0.11,Very Low (<0.7),
15,serror_rate,srv_serror_rate,-0.11,Very Low (<0.7),
22,srv_serror_rate,srv_rerror_rate,-0.12,Very Low (<0.7),
6,count,diff_srv_rate,-0.18,Very Low (<0.7),
3,count,rerror_rate,-0.21,Very Low (<0.7),
4,count,srv_rerror_rate,-0.21,Very Low (<0.7),
14,srv_count,srv_diff_host_rate,-0.24,Very Low (<0.7),
10,srv_count,rerror_rate,-0.29,Very Low (<0.7),
11,srv_count,srv_rerror_rate,-0.29,Very Low (<0.7),
13,srv_count,diff_srv_rate,-0.3,Very Low (<0.7),
1,count,serror_rate,-0.31,Very Low (<0.7),
2,count,srv_serror_rate,-0.31,Very Low (<0.7),
7,count,srv_diff_host_rate,-0.31,Very Low (<0.7),
27,rerror_rate,same_srv_rate,-0.33,Very Low (<0.7),
30,srv_rerror_rate,same_srv_rate,-0.33,Very Low (<0.7),
33,same_srv_rate,diff_srv_rate,-0.43,Very Low (<0.7),
8,srv_count,serror_rate,-0.53,Very Low (<0.7),
9,srv_count,srv_serror_rate,-0.53,Very Low (<0.7),
18,serror_rate,same_srv_rate,-0.86,Very Low (<0.7),
23,srv_serror_rate,same_srv_rate,-0.86,Very Low (<0.7),
